grade,gender,transgender,sexual_orientation,religion,ethnicity,physical_disability,learning_disability,parent_guardian,guardian_degree,language_at_home_number,parent_other_than_English_frequency,language_at_home_text,book_in_home_number,book_read_number,computer_at_home_number,district,gpa,dei_01,dei_02,dei_03,dei_04,"G_School Climate for Diversity, Equity, and Inclusion			",dei_05,dei_06,dei_07,dei_10,"G_School Climate Overall			",dei_11,dei_12,dei_13,dei_16,dei_17,dei_18,dei_21,dei_75,"G_Classroom Teaching Supporting Diversity, Equity, and Inclusion						",dei_24,dei_25,dei_26,"G_Co-curricular Activities Supporting Diversity, Equity, and Inclusion		",dei_27,dei_28,dei_29,"G_School Commitment to Diversity, Equity, and Inclusion",dei_30,dei_31,dei_32,dei_35,dei_36,dei_37,"G_Everyday Discrimination by Students					",dei_48,dei_49,dei_50,dei_53,dei_54,dei_55,"G_Everyday Discrimination by Teachers					",dei_72,dei_73,dei_74,dei_76,"G_Outcomes					",absent_times,office_times,dei_80,dei_81,dei_82,dei_83,dei_84,"G_Meaningful Interactions Across Difference				",dei_fair_to_boys,share_text,temp,swsd_01,stmarg_remote,dei_stmarg,m_b63,
8,Female,No,Bisexual,Other,White,No,No,Parents,Finished a professional or graduate degree after college,,Always,,25-99,,"Yes, three or more",2,1,4,,1,3,2.666666667,4,4,4,4,4.00 ,4,,,,,,,,#DIV/0!,1,1,1,1,4,4,2,3.333333333,3,3,3,4,1,1,2.5,2,2,2,1,1,1,1.5,4,4,3,3.50 ,3.63 ,10,0,2,2,2,2,,2,,,1,,,,,Comparison Data
11,Male,No,Heterosexual,None,"Hispanic, Latino, or Spanish",No,No,Parents,Finished a professional or graduate degree after college,,Seldom,,100-250,,"Yes, three or more",2,1,4,,1,2,2.333333333,,4,4,4,4.00 ,5,3,3,2,2,2,2,2,2.29 ,4,3,3,3.333333333,3,3,3,3,4,3,2,4,3,4,3.333333333,2,2,3,1,1,1,1.666666667,2,4,4,2.50 ,3.13 ,0,0,5,5,5,5,,5,,No,4,,,,,Comparison Data
10,Female,No,Heterosexual,None,White,No,No,Stepparent,Attended some college or earned a 2-year degree,,No,,100-250,,"Yes, three or more",2,2,4,,1,3,2.666666667,3,3,4,5,3.75 ,4,2,2,2,2,3,3,3,2.43 ,4,1,4,3,4,3,5,4,2,2,1,4,1,3,2.166666667,2,3,1,1,2,1,1.666666667,5,4,1,3.00 ,3.25 ,3,0,1,2,5,1,,2.25,,,1,,,,,Comparison Data
11,Female,No,Heterosexual,Jewish,White,Yes,No,Parents,Finished a professional or graduate degree after college,,No,,More than 250,,"Yes, three or more",2,1,5,,3,4,4,3,4,5,4,4.00 ,4,,3,4,4,3,3,4,3.50 ,4,4,5,4.333333333,5,3,4,4,3,5,2,4,1,1,2.666666667,3,3,2,2,1,2,2.166666667,4,4,3,3.50 ,3.63 ,2,0,3,5,5,4,,4.25,,,3,,,,,Comparison Data
8,Male,No,Heterosexual,Other,"Hispanic, Latino, or Spanish",No,No,Parents,Finished a professional or graduate degree after college,,Half the time,,100-250,,"Yes, three or more",2,1,5,,4,5,4.666666667,5,5,5,5,5.00 ,5,3,4,3,4,4,4,3,3.57 ,5,3,3,3.666666667,4,4,5,4.333333333,2,2,3,2,1,2,2,1,1,1,4,1,1,1.5,5,5,5,5.00 ,5.00 ,0,0,5,5,5,5,,5,,,5,,,,,Comparison Data
7,Female,No,Heterosexual,None,White,No,Yes,Parents,I don't know,,Seldom,,25-99,,"Yes, one",2,1,5,,5,4,4.666666667,5,5,5,5,5.00 ,5,2,1,1,1,2,,,1.40 ,0,0,0,0,5,5,5,5,2,2,1,1,2,2,1.666666667,1,1,1,1,1,1,1,5,5,5,2.50 ,4.38 ,0,0,4,4,4,5,,4.25,,I thought it was a little crazy at school today.,1,,,,,Comparison Data
12,,No,Heterosexual,,,No,No,Parents,Finished a professional or graduate degree after college,,No,,100-250,,"Yes, three or more",2,4,5,,5,5,5,4,5,5,4,4.50 ,5,4,2,2,2,4,4,2,2.86 ,1,1,1,1,3,3,3,3,2,2,1,3,1,2,1.833333333,1,1,1,1,1,1,1,4,5,4,3.50 ,4.13 ,,0,5,4,3,5,,4.25,,,3,,,,,Comparison Data
9,Male,No,Heterosexual,None,Asian,No,No,Parents,I don't know,,Most of the time,,25-99,,"Yes, three or more",2,2,5,,5,5,5,5,5,5,5,5.00 ,5,3,3,2,4,5,5,5,3.86 ,0,0,0,0,4,5,4,4.333333333,2,1,1,2,1,1,1.333333333,1,1,1,1,1,1,1,4,5,3,5.00 ,4.25 ,1,0,4,4,4,4,,4,,,4,,,,,Comparison Data
12,Male,No,Bisexual,Muslim,Asian,Yes,No,Parents,Finished a professional or graduate degree after college,,Seldom,,More than 250,,"Yes, three or more",2,1,4,,1,3,2.666666667,5,5,5,4,4.75 ,3,5,5,5,5,5,5,5,5.00 ,4,4,5,4.333333333,4,5,5,4.666666667,5,2,1,1,1,2,2,4,1,1,1,1,1,1.5,5,5,5,4.50 ,4.88 ,42,0,4,5,5,5,,4.75,,,4,,,,,Comparison Data
9,,No,Bisexual,Jewish,White,No,Yes,Parents,I don't know,,Seldom,,11-24,,"Yes, one",2,3,3,,1,1,1.666666667,4,3,4,3,3.50 ,2,1,1,1,3,1,1,1,1.29 ,0,0,0,0,4,3,3,3.333333333,4,4,2,5,3,3,3.5,2,2,4,5,1,1,2.5,2,3,2,2.00 ,2.25 ,4,0,5,5,4,5,,4.75,,no,5,,,,,Comparison Data
9,Female,No,,None,White,No,No,Parents,Finished a professional or graduate degree after college,,No,,More than 250,,"Yes, two",2,1,4,,4,5,4.333333333,4,4,5,5,4.50 ,4,3,3,2,2,2,2,2,2.29 ,3,0,0,1,3,3,4,3.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,4.00 ,3.50 ,,,3,4,4,4,,3.75,,,4,,,,,Comparison Data
11,Female,No,Bisexual,None,White,No,No,Parents,Finished a 4-year college degree,,No,,100-250,,"Yes, three or more",2,1,5,,3,5,4.333333333,5,4,4,4,4.25 ,5,5,5,2,5,4,2,3,3.71 ,4,0,5,3,4,4,4,4,2,3,1,3,1,1,1.833333333,1,1,3,1,1,1,1.333333333,4,5,5,4.00 ,4.50 ,8,0,5,5,5,5,,5,,,5,,,,,Comparison Data
7,Female,No,Heterosexual,Atheist,White,No,No,Parents,I don't know,,Most of the time,,More than 250,,"Yes, two",2,1,5,,3,3,3.666666667,5,4,3,5,4.25 ,4,4,3,2,2,3,2,4,2.86 ,3,4,0,2.333333333,5,4,4,4.333333333,2,1,2,2,1,2,1.666666667,1,1,2,1,1,2,1.333333333,5,5,4,4.50 ,4.63 ,20,0,4,5,5,4,,4.5,,,4,,,,,Comparison Data
7,Male,No,Heterosexual,Christian,Black or African American,No,No,Parents,Finished a professional or graduate degree after college,,No,,25-99,,"Yes, three or more",2,2,5,,5,5,5,5,5,5,5,5.00 ,5,4,2,2,3,4,2,4,3.00 ,4,5,1,3.333333333,5,4,4,4.333333333,3,3,2,3,2,2,2.5,2,2,1,1,1,1,1.333333333,5,5,5,5.00 ,5.00 ,1,0,3,3,3,4,,3.25,,no,4,,,,,Comparison Data
8,Male,No,Questioning,Atheist,White,No,No,Parents,Finished a 4-year college degree,,No,,25-99,,"Yes, three or more",2,2,5,,5,5,5,5,5,5,5,5.00 ,5,2,2,2,3,4,2,3,2.57 ,1,0,0,0.333333333,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,0,0,1,1,1,1,,1,,,Never,,,,,Comparison Data
9,Female,No,Heterosexual,Jewish,White,No,No,Parents,Finished a 4-year college degree,,Seldom,,More than 250,,"Yes, three or more",2,2,5,,5,5,5,5,5,5,5,5.00 ,5,2,5,4,2,2,4,2,3.00 ,0,3,5,2.666666667,,,,#DIV/0!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5.00 ,5.00 ,,0,3,4,5,5,,4.25,,,3,,,,,Comparison Data
12,Male,No,Heterosexual,Christian,"Some other race, ethnicity, or origin",No,No,Parents,Finished high school,,Always,,100-250,,"Yes, three or more",2,2,5,,5,1,3.666666667,3,3,5,2,3.25 ,5,2,2,1,2,2,2,1,1.71 ,1,0,0,0.333333333,3,1,2,2,3,3,3,4,1,4,3,3,3,3,1,1,1,2,2,4,1,0.50 ,1.88 ,1,0,1,1,1,1,,1,,Crack down on a lot of kids about drug use. Way too many kids are getting high or drinking at school events which causes them to be loud and obnoxious and ruins everyone else's experience.,Never,,,,,Comparison Data
8,Male,No,Heterosexual,None,White,No,No,Parents,Finished a professional or graduate degree after college,,No,,25-99,,"Yes, two",2,3,5,,3,3,3.666666667,4,4,5,5,4.50 ,5,4,2,2,1,2,2,3,2.29 ,1,0,0,0.333333333,3,4,5,4,4,4,2,3,1,2,2.666666667,1,1,2,1,1,1,1.166666667,4,2,3,2.00 ,2.75 ,2,0,5,5,5,5,,5,,,5,,,,,Comparison Data
7,Female,No,Questioning,Christian,"Middle Eastern, North African, or Arab",No,No,Parents,Finished a 4-year college degree,,Seldom,,More than 250,,"Yes, three or more",2,2,4,,1,4,3,4,3,4,5,4.00 ,4,4,4,5,4,3,2,3,3.57 ,4,4,0,2.666666667,5,3,4,4,4,4,2,4,3,3,3.333333333,2,1,1,3,1,1,1.5,4,4,3,2.00 ,3.25 ,2,0,5,3,4,5,,4.25,,,3,,,,,Comparison Data
11,Male,No,Heterosexual,Christian,Black or African American,No,No,Parents,Finished high school,,No,,11-24,,"Yes, three or more",2,2,5,,5,5,5,4,4,5,5,4.50 ,5,4,4,1,2,2,2,1,2.29 ,0,0,0,0,4,5,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.00 ,4.75 ,9,0,3,4,5,5,,4.25,,,Never,,,,,Comparison Data
11,Female,No,Heterosexual,Other,Asian,No,No,Parents,Finished a professional or graduate degree after college,,Always,,100-250,,"Yes, two",2,1,4,,2,4,3.333333333,4,4,5,5,4.50 ,4,1,3,2,3,2,2,2,2.14 ,4,0,0,1.333333333,3,2,3,2.666666667,2,2,2,2,1,1,1.666666667,1,1,2,2,1,1,1.333333333,4,4,4,4.00 ,4.00 ,0,0,4,5,4,5,,4.5,,,4,,,,,Comparison Data
6,Female,No,Heterosexual,Christian,Asian,No,No,Single Parent,Finished a 4-year college degree,,No,,25-99,,"Yes, three or more",2,1,4,,3,5,4,4,5,5,4,4.50 ,,4,5,3,1,4,4,3,3.43 ,3,3,3,3,,,,#DIV/0!,2,2,1,3,1,1,1.666666667,2,1,1,1,1,1,1.166666667,,,,5.00 ,5.00 ,1,1,5,4,5,5,,4.75,,no,4,,,,,Comparison Data
9,Female,No,,None,Asian,,,Parents,Finished a professional or graduate degree after college,,Always,,25-99,,"Yes, one",2,,5,,5,5,5,5,5,5,5,5.00 ,5,5,5,5,5,5,5,5,5.00 ,,,,#DIV/0!,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,6,0,4,3,5,5,,4.25,,,4,,,,,Comparison Data
8,Female,No,Heterosexual,Jewish,White,No,Yes,Parents,Finished a professional or graduate degree after college,,Seldom,,11-24,,"Yes, three or more",2,1,3,,3,4,3.333333333,3,3,5,5,4.00 ,5,2,1,1,1,4,2,1,1.71 ,0,0,0,0,3,3,3,3,3,3,2,4,4,2,3,4,3,4,4,1,1,2.833333333,3,4,1,1.50 ,2.38 ,2,0,1,5,2,1,,2.25,,,1,,,,,Comparison Data
11,Female,No,Heterosexual,Jewish,White,No,No,Stepparent,Finished a 4-year college degree,,Seldom,,100-250,,"Yes, three or more",2,1,5,,3,5,4.333333333,4,5,5,4,4.50 ,5,3,2,2,2,2,1,1,1.86 ,0,0,3,1,4,4,4,4,1,1,1,2,2,2,1.5,3,3,4,3,2,2,2.833333333,4,4,4,3.50 ,3.88 ,0,0,2,5,5,3,,3.75,,"A lot of the time, when faculty and teachers try to be inclusive and represent equity and diversity, it feels like an attack on the white community. There has been more than one occasion where Sierra Canyon staff has made me feel like I should be guilty for being white.",Never,,,,,Comparison Data
9,Male,No,Heterosexual,Buddhist,Asian,No,No,Single Parent,Finished high school,,Seldom,,More than 250,,"Yes, one",2,1,5,,5,5,5,5,5,5,5,5.00 ,5,4,5,5,4,5,5,5,4.71 ,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,0,0,5,5,5,4,,4.75,,it is a great school with great academic atmosphere and correct concepts of learning's building.,4,,,,,Comparison Data
12,Female,No,Heterosexual,Christian,White,No,No,Parents,Finished a 4-year college degree,,Always,,25-99,,"Yes, three or more",2,2,5,,3,5,4.333333333,5,4,5,5,4.75 ,5,4,5,4,4,4,4,4,4.14 ,3,3,4,3.333333333,4,4,4,4,3,2,3,3,2,2,2.5,2,1,2,1,1,1,1.333333333,5,4,5,4.50 ,4.63 ,6,0,3,5,5,5,,4.5,,,4,,,,,Comparison Data
7,Male,No,Heterosexual,,Black or African American,No,No,Parents,Finished a professional or graduate degree after college,,Half the time,,100-250,,"Yes, three or more",2,2,4,,3,4,3.666666667,,5,4,5,4.67 ,4,4,4,4,4,4,3,3,3.71 ,3,4,1,2.666666667,5,4,4,4.333333333,3,2,2,2,1,1,1.833333333,3,2,1,1,1,1,1.5,5,5,5,4.50 ,4.88 ,2,0,4,4,3,5,,4,,No.,3,,,,,Comparison Data
9,Female,No,Bisexual,None,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,,Half the time,,,,"Yes, three or more",2,3,5,,3,3,3.666666667,4,4,5,4,4.25 ,4,2,2,3,2,2,2,2,2.14 ,4,4,4,4,1,2,2,1.666666667,2,2,2,2,1,2,1.833333333,1,1,1,2,1,2,1.333333333,2,1,2,3.50 ,2.13 ,8,0,3,3,4,2,,3,,,3,,,,,Comparison Data
10,Male,No,Heterosexual,Jewish,White,No,No,Single Parent,Attended some college or earned a 2-year degree,,Half the time,,100-250,,"Yes, three or more",2,2,5,,5,5,5,5,4,5,4,4.50 ,5,5,4,4,3,4,3,4,3.86 ,4,4,4,4,5,5,5,5,3,3,3,3,1,2,2.5,1,2,1,1,1,1,1.166666667,4,4,5,5.00 ,4.50 ,1,1,,,,,,#DIV/0!,,Great school. I love it.,,,,,,Comparison Data
7,Female,No,Heterosexual,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,,Half the time,,100-250,,"Yes, three or more",2,1,5,,5,5,5,4,4,4,5,4.25 ,5,1,3,1,2,2,1,1,1.57 ,0,0,0,0,4,3,3,3.333333333,1,1,2,2,1,1,1.333333333,1,2,2,1,1,1,1.333333333,4,5,5,4.00 ,4.50 ,2,0,1,2,1,2,,1.5,,No.,Never,,,,,Comparison Data
8,Female,No,Heterosexual,Jewish,White,No,No,Parents,Finished a 4-year college degree,,Half the time,,25-99,,"Yes, three or more",2,1,5,,1,5,3.666666667,4,4,5,5,4.50 ,5,5,5,2,4,4,5,3,4.00 ,4,0,0,1.333333333,4,4,5,4.333333333,3,3,2,4,1,1,2.333333333,4,2,1,1,2,1,1.833333333,3,5,4,4.50 ,4.13 ,5,0,5,4,5,5,,4.75,,no,3,,,,,Comparison Data
6,Female,No,Heterosexual,Christian,Asian,No,No,Parents,Finished a professional or graduate degree after college,,Always,,More than 250,,"Yes, three or more",2,4,5,,5,5,5,5,4,5,5,4.75 ,5,2,5,4,1,2,1,,2.50 ,1,,0,0.5,5,5,4,4.666666667,1,1,1,2,1,1,1.166666667,1,1,2,1,1,1,1.166666667,4,5,3,2.50 ,3.63 ,0,0,4,5,5,5,,4.75,,,Never,,,,,Comparison Data
9,Male,No,Questioning,None,White,No,No,Single Parent,Finished a professional or graduate degree after college,,Most of the time,,100-250,,"Yes, two",2,2,5,,2,5,4,4,4,5,4,4.25 ,3,2,2,2,2,2,1,2,1.86 ,0,0,0,0,5,4,5,4.666666667,3,3,2,3,1,1,2.166666667,3,3,1,1,1,1,1.666666667,4,4,3,5.00 ,4.00 ,0,0,4,3,5,5,,4.25,,,3,,,,,Comparison Data
8,Female,No,Heterosexual,Other,"Hispanic, Latino, or Spanish",No,No,Parents,Finished high school,,Half the time,,25-99,,,2,3,3,,2,5,3.333333333,5,4,5,5,4.75 ,5,4,4,3,2,3,,2,3.00 ,3,4,4,3.666666667,2,2,2,2,3,3,2,1,1,2,2,2,1,1,1,1,1,1.166666667,2,2,2,3.50 ,2.38 ,12,0,5,5,5,5,,5,,,5,,,,,Comparison Data
9,Male,No,Heterosexual,Hindu,"Some other race, ethnicity, or origin",No,No,Parents,Finished a professional or graduate degree after college,,Seldom,,More than 250,,"Yes, three or more",2,1,5,,5,5,5,4,4,5,5,4.50 ,5,4,4,2,2,4,5,2,3.29 ,0,0,3,1,4,4,5,4.333333333,2,2,1,2,1,1,1.5,1,2,1,1,1,1,1.166666667,4,4,5,5.00 ,4.50 ,2,0,4,5,4,5,,4.5,,Not really,1,,,,,Comparison Data
8,Female,Yes,Bisexual,Christian,White,Yes,No,Parents,Finished a 4-year college degree,,Half the time,,More than 250,,"Yes, two",2,1,4,,4,3,3.666666667,3,4,5,4,4.00 ,4,4,4,4,4,4,2,3,3.57 ,3,3,3,3,3,3,3,3,3,4,4,,4,4,3.8,3,1,2,,1,1,1.6,3,3,3,3.00 ,3.00 ,1,0,5,5,5,5,,5,,,4,,,,,Comparison Data
7,Female,No,Heterosexual,Agnostic,"Middle Eastern, North African, or Arab",No,No,Parents,Finished a professional or graduate degree after college,,Half the time,,11-24,,"Yes, three or more",2,3,5,,4,5,4.666666667,5,4,5,4,4.50 ,5,3,2,4,1,4,3,2,2.71 ,4,0,0,1.333333333,3,3,5,3.666666667,2,1,1,3,1,2,1.666666667,1,1,1,1,1,1,1,4,4,5,5.00 ,4.50 ,2,0,4,4,3,2,,3.25,,,Never,,,,,Comparison Data
7,Female,No,Heterosexual,None,"Hispanic, Latino, or Spanish",No,No,Single Parent,Finished a 4-year college degree,,No,,100-250,,"Yes, three or more",2,4,4,,3,4,3.666666667,4,4,4,4,4.00 ,3,4,4,4,3,4,4,5,4.00 ,0,0,0,0,4,4,4,4,3,1,1,2,2,1,1.666666667,1,1,1,1,1,1,1,4,4,4,3.50 ,3.88 ,1,0,1,1,1,1,,1,,,Never,,,,,Comparison Data
9,Male,No,Heterosexual,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,,Most of the time,,More than 250,,"Yes, three or more",2,2,5,,2,4,3.666666667,4,4,4,4,4.00 ,5,3,3,1,1,2,1,1,1.71 ,0,0,0,0,3,4,4,3.666666667,1,2,2,2,1,3,1.833333333,1,2,1,1,1,1,1.166666667,4,4,3,3.00 ,3.50 ,4,0,4,3,2,1,,2.5,,no,Never,,,,,Comparison Data
10,Female,No,Heterosexual,Atheist,White,No,No,Stepparent,Finished a professional or graduate degree after college,,No,,25-99,,"Yes, three or more",2,4,3,,2,5,3.333333333,3,3,5,3,3.50 ,4,2,2,2,2,2,2,2,2.00 ,3,3,3,3,3,3,2,2.666666667,3,2,2,3,1,1,2,1,2,2,3,1,1,1.666666667,3,3,3,1.50 ,2.63 ,11,0,2,3,5,5,,3.75,,"The school cares too much about boys sports to the point where they give them advantages in even academics by letting them skip class and get not as good of grades without as many consequences that others would have. They are also allowed to walk freely out of dress code while if anyone else does this, they would get called out and get detention or something like that. They also have the biggest smiles and introductions to those on boys sports, its unfair and not right. Also, on some school trips, sometimes the boys will be allowed to have a later curfew and less restrictions.",5,,,,,Comparison Data
9,Female,No,Heterosexual,Christian,White,No,No,Parents,Finished a 4-year college degree,,No,,25-99,,"Yes, one",2,5,3,,2,5,3.333333333,4,4,5,4,4.25 ,5,,,,,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,2,2,2,2,1,2,1.833333333,3,2,3,3,1,1,2.166666667,,,,1.50 ,1.50 ,18,0,,,,,,#DIV/0!,,,,,,,,Comparison Data
7,Female,No,Heterosexual,Atheist,Black or African American,No,No,Parents,I don't know,,No,,25-99,,"Yes, three or more",2,1,5,,4,5,4.666666667,4,4,5,5,4.50 ,5,2,4,2,4,2,3,4,3.00 ,3,4,4,3.666666667,4,3,5,4,3,2,1,1,1,1,1.5,2,1,1,1,1,1,1.166666667,4,5,4,3.00 ,4.00 ,0,0,3,3,2,2,,2.5,,"The majority of my answers come from thoughts like; ""I would reccomend, but its very costly,"" or ""Its a low answer, but thats probably not the teachers' main focus."" These aren't necessarily bad scores, but the question are more broad than what the answers give. ",5,,,,,Comparison Data
12,Female,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,,Seldom,,100-250,,"Yes, three or more",2,2,5,,4,4,4.333333333,5,5,5,5,5.00 ,5,5,5,3,2,4,3,3,3.57 ,0,0,3,1,4,4,4,4,1,1,2,3,2,2,1.833333333,1,1,3,1,1,1,1.333333333,4,5,4,3.50 ,4.13 ,3,0,4,5,5,5,,4.75,,,5,,,,,Comparison Data
10,Female,No,Bisexual,None,White,No,Yes,Parents,Finished a professional or graduate degree after college,,No,,More than 250,,"Yes, three or more",2,7,4,,4,4,4,4,4,5,5,4.50 ,5,4,2,4,2,3,2,2,2.71 ,4,3,0,2.333333333,4,4,3,3.666666667,4,4,4,4,3,2,3.5,2,2,1,1,1,1,1.333333333,3,5,3,5.00 ,4.00 ,1,0,3,3,4,5,,3.75,,Itâs a nice school and for the most part everyone is pretty respectful and nice. Being a smaller school allows students to spend more personalized time with teachers,5,,,,,Comparison Data
10,Female,No,Heterosexual,Jewish,White,No,Yes,Parents,Finished a professional or graduate degree after college,,No,,25-99,,"Yes, three or more",2,2,5,,4,4,4.333333333,4,3,5,4,4.00 ,5,2,3,4,2,5,2,2,2.86 ,3,3,3,3,5,4,4,4.333333333,2,2,3,4,2,2,2.5,1,2,1,1,1,1,1.166666667,3,4,3,2.50 ,3.13 ,8,0,4,5,4,5,,4.5,,"This school is a great school for the certain type of person, the person who wants to excel in sports and have high standing academics. ",5,,,,,Comparison Data
9,Male,No,Heterosexual,Christian,White,No,No,Stepparent,Finished a 4-year college degree,,No,,11-24,,"Yes, three or more",2,2,5,,5,5,5,5,5,5,5,5.00 ,5,5,5,5,1,5,5,4,4.29 ,0,0,0,0,5,4,5,4.666666667,2,1,1,1,1,1,1.166666667,1,1,1,1,1,1,1,5,4,5,5.00 ,4.75 ,22,0,5,5,5,5,,5,,,4,,,,,Comparison Data
10,Female,No,Heterosexual,Atheist,Asian,No,No,Parents,Finished a professional or graduate degree after college,,Half the time,,100-250,,"Yes, three or more",2,1,4,,4,3,3.666666667,4,4,4,4,4.00 ,3,2,3,1,1,2,1,1,1.57 ,3,4,5,4,4,3,4,3.666666667,3,2,2,2,1,2,2,3,2,2,3,1,2,2.166666667,3,4,4,3.50 ,3.63 ,3,0,5,5,5,5,,5,,no,5,,,,,Comparison Data
6,Female,No,Questioning,Agnostic,White,No,No,Stepparent,Attended some college or earned a 2-year degree,,No,,25-99,,"Yes, three or more",2,1,5,,3,5,4.333333333,5,4,5,5,4.75 ,5,,,,,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4.00 ,4.00 ,0,0,,,,,,#DIV/0!,,,,,,,,Comparison Data
12,Male,No,Heterosexual,Jewish,White,No,Yes,Stepparent,Finished a 4-year college degree,,No,,25-99,,"Yes, three or more",2,2,5,,5,5,5,5,5,5,5,5.00 ,5,3,4,4,4,4,4,3,3.71 ,3,3,4,3.333333333,3,4,5,4,2,4,5,5,2,4,3.666666667,1,1,1,1,1,1,1,2,4,3,4.00 ,3.25 ,6,0,3,4,5,5,,4.25,,,3,,,,,Comparison Data
8,Female,No,Heterosexual,None,Black or African American,No,No,Parents,I don't know,,No,,11-24,,"Yes, three or more",2,3,5,,5,5,5,4,4,5,5,4.50 ,5,5,5,5,4,4,4,4,4.43 ,3,4,1,2.666666667,2,4,5,3.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5.00 ,4.00 ,6,0,3,3,4,5,,3.75,,"No, thank you",4,,,,,Comparison Data
12,Female,No,Questioning,None,Black or African American,No,No,Single Parent,Finished a professional or graduate degree after college,,No,,More than 250,,"Yes, three or more",2,,3,,4,3,3.333333333,4,4,5,5,4.50 ,4,3,2,2,3,2,2,2,2.29 ,1,3,4,2.666666667,3,4,2,3,3,3,2,4,1,1,2.333333333,2,2,3,2,1,1,1.833333333,4,4,3,4.00 ,3.75 ,,,3,4,3,4,,3.5,,"There are more groups that could be better represented throughout school programs/classes, like those with disabilities/handicaps, mental health disorders and learning disabilities. I also believe more education on sexual assault and gender gaps are necessary in achieving equity and inclusion.",4,,,,,Comparison Data
12,Male,Yes,Bisexual,Buddhist,Asian,No,No,Parents,Finished a professional or graduate degree after college,,No,,100-250,,"Yes, three or more",2,1,4,,3,5,4,4,5,4,4,4.25 ,4,3,3,4,3,4,4,4,3.57 ,4,4,4,4,2,2,2,2,3,2,2,3,1,2,2.166666667,2,1,2,2,1,1,1.5,1,1,2,4.00 ,2.00 ,3,0,4,4,4,4,,4,,,4,,,,,Comparison Data
10,Female,No,Heterosexual,Other,White,No,No,Parents,Finished a professional or graduate degree after college,,Most of the time,,100-250,,"Yes, three or more",2,1,4,,2,3,3,4,4,5,4,4.25 ,5,4,4,2,2,3,2,3,2.86 ,4,4,4,4,4,4,3,3.666666667,3,3,4,3,3,4,3.333333333,3,3,4,3,1,1,2.5,4,4,4,4.00 ,4.00 ,9,0,5,5,5,5,,5,,,5,,,,,Comparison Data
11,Female,No,Heterosexual,Christian,Black or African American,No,No,Parents,Finished a 4-year college degree,,Half the time,,100-250,,"Yes, three or more",2,2,1,,1,5,2.333333333,5,5,5,5,5.00 ,5,5,5,5,1,5,5,5,4.43 ,5,5,4,4.666666667,5,5,5,5,5,5,5,5,1,1,3.666666667,1,1,1,1,1,1,1,5,3,5,5.00 ,4.50 ,9,0,5,5,5,1,,4,,no,3,,,,,Comparison Data
8,Female,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,,No,,100-250,,"Yes, three or more",2,1,4,,4,3,3.666666667,5,5,5,5,5.00 ,4,5,4,2,3,4,3,4,3.57 ,4,4,4,4,5,5,5,5,1,1,2,2,1,1,1.333333333,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,2,0,5,5,5,5,,5,,nope!,5,,,,,Comparison Data
8,Male,No,Questioning,None,White,No,No,Parents,I don't know,,No,,100-250,,"Yes, two",2,4,2,,5,4,3.666666667,3,5,5,5,4.50 ,4,,4,2,1,3,4,5,3.17 ,1,0,1,0.666666667,2,4,,3,2,3,1,2,2,1,1.833333333,2,3,1,2,2,1,1.833333333,3,4,5,3.50 ,3.88 ,3,0,2,4,5,3,,3.5,,,Never,,,,,Comparison Data
8,Male,No,Heterosexual,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,,Seldom,,More than 250,,"Yes, three or more",2,,5,,5,4,4.666666667,5,4,5,5,4.75 ,4,3,4,2,2,2,2,3,2.57 ,0,0,0,0,4,4,4,4,2,1,1,1,1,2,1.333333333,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,0,0,2,3,4,4,,3.25,,I thank Sierra Canyon from the bottom of my heart for everything they have done for me.,Never,,,,,Comparison Data
9,Male,No,Heterosexual,Jewish,White,No,No,Single Parent,Finished a professional or graduate degree after college,,No,,25-99,,"Yes, three or more",2,3,3,,3,4,3.333333333,4,4,5,3,4.00 ,5,5,5,2,1,1,2,2,2.57 ,3,0,0,1,3,2,3,2.666666667,2,2,2,3,1,1,1.833333333,2,2,1,2,1,1,1.5,4,3,2,3.00 ,3.00 ,7,0,5,5,5,5,,5,,,4,,,,,Comparison Data
